番号,質問,選択肢1,説明_1,選択肢2,説明_2,選択肢3,説明_3,選択肢4,説明_4,選択肢5,説明_5,correct,domain
11,ACIDの頭文字は,原子性、一貫性、独立性、耐久性,正解は「原子性（Atomicity）」「一貫性（Consistency）」「独立性（Isolation）」「永続性（Durability）」です。これらは、データベーストランザクションの信頼性を保証する4つの特性です。原子性は、トランザクション内のすべての操作が正常に完了するか、まったく操作が行われないことを保証します。一貫性は、トランザクションの前後でデータベースが一貫した状態を維持することを保証します。独立性は、トランザクションが互いに分離されていることを保証します。永続性は、一度コミットされたトランザクションは、システム障害が発生しても存続することを保証します。,アリティ、カーディナリティ、インスタンス、展開,アリティ、カーディナリティ、インスタンス、デベロップメントは正解ではありません。これらの用語は、データベーストランザクションにおけるACID特性とは関係ありません。正しい特性は、アトミック性、一貫性、独立性、そして永続性です。,原子性、カーディナリティ、インスタンス、永続性,原子性、カーディナリティ、インスタンス、永続性は正解ではありません。原子性と永続性はACID特性の一部ですが、カーディナリティとインスタンスはACID特性ではありません。正しい特性は、原子性、一貫性、独立性、永続性です。,加法、CAP、独立性、データベース,加法性、CAP、独立性、データベースは正解ではありません。加法性、CAP、独立性は、データベーストランザクションにおけるACID特性の一部ではありません。正しい特性は、原子性、一貫性、独立性、永続性です。,原子性、一貫性、独立性、優位性,原子性、一貫性、独立性、優位性は正解ではありません。独立性と優位性は、データベーストランザクションにおけるACID特性の一部ではありません。正しい特性は、原子性、一貫性、独立性、そして永続性です。,1,6 Data Storage and Operations
12,ビッグデータのどの「V」特性が、データの変更頻度と、その結果データがどれだけ長く有効であるかを表していますか?,真実性,真実性はデータの正確性と信頼性に関係します。データ管理においては重要ですが、データがどのくらいの頻度で変更されるか、またどのくらいの期間有効であるかについては具体的に言及していません。,バラエティ,多様性とは、ビッグデータセット内に存在するデータの種類やソースの多様性を指します。これは、データの変更頻度やデータの有用性の持続期間とは直接関係しません。,粘度,粘性は、ビッグデータの特性であり、データの変更頻度やデータの有用性維持期間とは関係ありません。粘性は、データの流れや変化に対する抵抗力と関連付けられることが多いです。,ボラティリティ,変動性とは、データの変化頻度と、データがどれだけの期間有効に活用されるかを指します。データの変動性を理解することは、様々なデータ管理プロセスにおけるデータの関連性と有用性を判断する上で非常に重要です。,音量,ボリュームとは、ビッグデータセット内のデータ量そのものを指します。データの変更頻度や時間の経過に伴う有用性については特に言及しません。,4,14 Big Data and Data Science
13,事前に定義された結論に到達するための結果を生成するデータ収集の例:,バイアス,バイアスとは、サンプリングや試験のプロセスに導入され、真の値からの逸脱をもたらす体系的な誤差を指します。この文脈では、事前に定義された結論を裏付けるためにデータを選択的に収集・分析する行為が、プロセスにバイアスをもたらします。,シンクロニシティ,シンクロニシティとは、一見意味のある関連性があるように見えるものの、因果関係のない出来事が同時に発生することを指します。事前に定義された結論を導くためにデータを収集する行為は、シンクロニシティのような偶然の出来事ではなく、意図的かつ意図的なプロセスです。,計画,計画とは、特定の目標や目的を達成するために必要な手順、リソース、タイムラインを概説するプロセスです。計画はあらゆるデータ管理プロセスに不可欠ですが、事前に定義された結論に至る結果を得るためにデータを収集する行為とは直接関係がありません。,セレンディピティ,セレンディピティとは、幸運な出来事や有益な出来事が偶然に起こることを指します。質問で説明されているシナリオは、データ収集に意図的かつ偏ったアプローチをとっており、セレンディピティの概念とは相反しています。,データ分析,データ分析には、データの調査、変換、解釈を通して洞察、パターン、傾向を明らかにすることが含まれます。データ分析はデータ管理プロセスにおいて重要なステップですが、質問で説明されている具体的なシナリオは、事前に決められた結論に到達するために偏ったデータ収集を行うことに関係しています。,1,2 Data Handling Ethics
14,ライブ環境のスリム版であるデータベース環境。展開前にコードと新しいパッチを作成してテストするために使用されます。,生産,本番環境とは、アプリケーションまたはシステムが完全に稼働し、エンドユーザーがアクセスできる稼働環境です。コードや新しいパッチの作成とテスト、デプロイメント前のテストには使用されません。,サンドボックス,サンドボックス環境は、本番環境に影響を与えずに変更、更新、または構成をテストするためによく使用されます。デプロイ前にコードや新しいパッチを作成・テストするために特別に設計されたものではありません。,テスト,テスト環境は通常、アプリケーションまたはシステムの機能とパフォーマンスを本番環境への導入前にテストするために使用されます。コードや新しいパッチの作成とテストのために特別に設計されたものではありません。,発達,開発環境は、開発者が本番環境にデプロイする前にコードや新しいパッチを作成・テストする、本番環境の簡易版です。開発とテストに特化して使用されます。,実験的,実験環境は通常、実験を実施したり、新しいアイデア、機能、またはテクノロジーを試したりするために使用されます。本番環境にデプロイする前にコードや新しいパッチを作成およびテストするために特別に設計されたものではありません。,4,6 Data Storage and Operations
15,SQLを用いたトランザクション処理で主流となっているデータベース処理の種類は,MPP-共有なし,MPP（Massively Parallel Processing - Shared Nothing）は、クラスター内の各ノードまたはサーバーが独立して動作し、共有メモリやディスクを使用しないデータベースアーキテクチャの一種です。SQLはMPPシステムで使用できますが、SQLを用いたトランザクション処理において主流のデータベース処理ではありません。,分散型,分散データベース処理では、多くの場合、スケーラビリティとフォールトトレランスを向上させるために、複数の場所またはノードにデータが保存されます。SQLは分散データベースで使用できますが、SQLを使用したトランザクション処理では特に優位ではありません。,酸,ACID（原子性、一貫性、独立性、永続性）は、SQLを用いたトランザクション処理において主流となっているデータベース処理の一種です。ACIDは、データベーストランザクションが4つの特性すべてに従って確実に、かつ一貫して処理されることを保証し、データの整合性を維持します。,ベース,BASE（Basically Available、Soft State、Eventually Consistent）は、NoSQLデータベースでより一般的に使用される、異なるタイプのデータベース処理です。一貫性よりも可用性と分断耐性を重視しており、SQLを用いたトランザクション処理で主流のACID特性とは異なります。,集中化された,集中型データベース処理とは、単一の場所またはサーバーですべてのデータベース操作を処理することを指します。SQLは集中型システムでも使用できますが、SQLを使用したトランザクション処理では、分散型システムやACID準拠システムでの処理が一般的であるため、主流のデータベース処理方法ではありません。,3,6 Data Storage and Operations
16,組織がデータを共有する形式を標準化するために使用する共通モデルは、ハブアンドスポーク設計のハブに存在します。,ユニバーサルデータモデル,ユニバーサルデータモデルは、ハブアンドスポーク設計のハブにおけるデータ共有フォーマットを標準化するために組織が使用するモデルを正確に説明するものではありません。これはより一般的な用語であり、中央ハブの概念に特に焦点を当てたものではありません。,標準データモデル,標準データモデルは、ハブアンドスポーク設計におけるハブとしての側面を特に強調するものではない、一般的な用語です。データの標準化された形式を指す場合もありますが、標準的なデータモデルの集中化と標準化の側面を強調するものではありません。,汎用データモデル,汎用データモデルは、ハブアンドスポーク設計のハブにおけるデータ共有フォーマットを標準化するために組織が使用するモデルを正確に説明していないため、適切な選択ではありません。これは、中央ハブの概念に具体的に言及していない広義の用語です。,共通データモデル,共通データモデルは、この文脈では最適な選択肢とは言えません。データ共有のための標準フォーマットを指しているとはいえ、ハブアンドスポーク設計におけるハブとしての側面を特に強調しているわけではありません。,標準データモデル,標準データモデルは、組織内の複数のシステム間で共有されるデータを表現するための標準化された形式を指すため、正しい選択です。ハブアンドスポーク設計における中心的なハブとして機能し、異なるシステム間の一貫性と相互運用性を確保します。,5,8 Data Integration & Interoperability
17,データ セットの挿入、更新、削除を監視し、これらの差分を他のデータ コンシューマーに渡すプロセスは何と呼ばれますか?,レプリケーション,レプリケーションは、あるデータベースから別のデータベースへデータをコピーして配布する処理ですが、CDCのようにデータセットの変更を具体的に監視するわけではありません。レプリケーションは、差分を取得して渡すのではなく、データの複製に重点を置いています。,英語教育,ELT（抽出、ロード、変換）は、まずソースからデータを抽出し、次にターゲットシステムにロードし、最後に変換するデータ統合プロセスです。ELTは、CDCのようにデータの変更を監視して差分を渡すことに特化していません。,CDC,変更データキャプチャ（CDC）は、データセットにおける挿入、更新、削除などの変更を監視するプロセスです。これらの変更をキャプチャし、他のデータコンシューマーに渡すことで、リアルタイムのデータ同期とレプリケーションを実現します。,ログシッピング,ログシッピングは、トランザクションログのバックアップをあるデータベースから別のデータベースに自動的に送信する手法であり、通常は災害復旧を目的としています。CDCのようにデータセットの変更を監視し、差分を渡すために特別に設計されたものではありません。,ETL,ETL（抽出、変換、ロード）は、従来のデータ統合プロセスであり、まずソースからデータを抽出し、ビジネスルールに従って変換した後、ターゲットシステムにロードします。ETLは、CDCのようにデータの変更を具体的に監視したり、差分を渡したりすることはありません。,3,8 Data Integration & Interoperability
18,トピックの概要を記述し、ナビゲーションとソースシステムを有効にするために使用される制御された語彙を含む命名構造は、,マイクロコントロールされた語彙,マイクロコントロール語彙は、トピックの概要を明示し、ソースシステム内でのナビゲーションを可能にするために使用される命名構造を具体的に指すものではないため、適切な選択ではありません。むしろ、特定の分野で使用される、より小規模で具体的な用語セットを指します。,オントロジー,この文脈では、オントロジーは適切な選択ではありません。オントロジーも情報の整理を扱いますが、単にトピックの概要を示したり、ソースシステム内でのナビゲーションを可能にしたりするというよりも、概念とエンティティ間の関係性に重点を置いています。,用語集,この質問に対する「用語集」は正しい選択肢ではありません。用語集には通常、特定の文脈や分野で使用される用語の定義が含まれますが、必ずしもトピックの概要を示したり、ソースシステム内でのナビゲーションを可能にしたりするための構造化された命名体系を提供するものではありません。,分類学,タクソノミーは、トピックを整理し、統制された語彙を用いてソースシステム内のナビゲーションを可能にする命名構造を指すため、正しい選択です。情報を分類・分類することで、検索と理解を容易にするのに役立ちます。,シソーラス,この文脈では「シソーラス」は適切な選択ではありません。シソーラスは特定の単語の同義語や関連語を提供しますが、トピックの概要を示したり、情報源システム内でのナビゲーションを可能にしたりするために用いられる統制された語彙を含む命名構造を指すものではありません。,4,9 Document & Content Management
19,効果的なデータ セキュリティ ポリシーの特徴は次のどれですか。,これらの政策は具体的、測定可能、達成可能、現実的、そして技術に沿ったものである,具体的で、測定可能で、達成可能で、現実的かつテクノロジーと連携したポリシーを策定することは、効果的な導入において重要ですが、これらの特性だけでは包括的なデータセキュリティポリシーのあらゆる側面を網羅することはできません。データセキュリティポリシーの有効性は、ユーザーの意識、トレーニング、継続的な監視といった要素にも左右されます。,定義された手順により、適切な人が適切な方法でデータを使用および更新でき、不適切なアクセスや更新がすべて制限されます。,この選択は、効果的なデータセキュリティポリシーの主要な特徴を正しく捉えています。これには、権限のある個人がデータにアクセスできるようにしながら、不正なアクセスや更新を制限することが含まれます。これは、データセキュリティに不可欠なデータの整合性と機密性を維持するのに役立ちます。,定義された手順はベンチマークされ、テクノロジーによってサポートされ、フレームワークベースであり、ピアレビューされている。,ベンチマーク、テクノロジーサポート、フレームワークの整合、ピアレビューは堅牢なデータセキュリティポリシーの重要な側面ですが、その有効性を決定づける唯一の要素ではありません。この選択は、効果的なデータセキュリティポリシーの包括的な性質を完全に捉えているとは言えません。,手順は厳密に定義されており、厳格かつ効果的な執行制裁と技術能力との整合性が保たれている。,明確に定義された手順、厳格な施行、そしてテクノロジーの能力との整合性は、データセキュリティポリシーの重要な要素ですが、過度に厳格な施行上の制裁は必ずしも実用的または効果的であるとは限りません。また、進化するセキュリティ脅威に対処するには、柔軟性と適応性も不可欠です。,で,で,2,7 Data Security
20,データ管理の責任は共有されています。高品質な情報を提供するために、誰が協力する必要があるでしょうか？,ビジネスとベンダー,データ管理の特定の側面において、ビジネス部門とベンダーの連携は有益ですが、高品質な情報を確保する主な責任は社内チームにあります。ベンダーはツールやサービスを提供する場合もありますが、連携の中核はビジネス部門とIT部門の間で構築されるべきです。,組織内の全員,組織内の全員がデータ品質の重要性を理解することが重要ですが、高品質な情報を確保するための主な連携は、ビジネス部門と情報技術部門の間で行われます。これら2つのグループは、効果的なデータ管理を推進するための専門知識と役割を有しています。,ビジネスと情報技術,高品質な情報の利用を確保するには、ビジネスとITの連携が不可欠です。ビジネス関係者はデータの要件とコンテキストを理解し、ITプロフェッショナルはデータ管理プロセスとシステムを効果的に実装するための専門知識を有しています。,データ品質スペシャリストとデータベース管理者,データ品質スペシャリストとデータベース管理者の連携は、特定のデータ品質プロセスの実装とデータベースの整合性の維持に重要です。しかし、高品質な情報の可用性を確保するというより広範な責任を果たすには、ビジネス部門と情報技術部門の連携が不可欠です。,内部監査人と外部監査人,内部監査員と外部監査員はデータ品質とコンプライアンスの評価に役割を果たしますが、高品質な情報の可用性を確保するための主な連携は、ビジネス部門と情報技術部門の間で行われます。これら2つのグループは、データ要件の定義、データ管理プロセスの実装、そしてデータの整合性の確保に責任を負います。,3,1 Data Management
21,エンタープライズ アーキテクチャの父として一般に知られているのは誰ですか?,ラルフ・キンボール,ラルフ・キンボールは、エンタープライズアーキテクチャではなく、データウェアハウスとディメンショナルモデリングへの貢献で知られています。彼の業績はデータウェアハウス分野に大きな影響を与えましたが、エンタープライズアーキテクチャの父とはみなされていません。,スティーブ・ホバーマン,スティーブ・ホバーマンはデータモデリングの専門家であり、著書も執筆しています。しかし、エンタープライズアーキテクチャの父と呼ばれることはあまりありません。彼の専門分野は、むしろデータモデリングとデータベース設計にあります。,ロバート・アバテ,ロバート・アベイトはエンタープライズ・アーキテクチャの分野では著名な人物ではありません。彼とエンタープライズ・アーキテクチャ原則の発展との間には、広く認知された関連性はありません。,ジョン・ザックマン,ジョン・ザックマンは、エンタープライズ・アーキテクチャの父として広く知られています。彼は、エンタープライズ・アーキテクチャの構築と管理に広く利用されているアプローチであるザックマン・フレームワークの考案者です。,ビル・インモン,ビル・インモンは、エンタープライズ・アーキテクチャの父ではなく、データウェアハウスの父として知られています。データウェアハウスへの彼の貢献は大きく、エンタープライズ・アーキテクチャの原則の発展とは関係がありません。,4,4 Data Architecture
22,CAP定理は、分散システムの規模が大きくなるにつれて、ACIDへの準拠性が低くなることを述べています。この定理の応用として、,MPPシェアードナッシングアーキテクチャ,MPPシェアードナッシングアーキテクチャは、CAP定理のもう一つの応用例であり、クラスター内の複数のノードにデータを分散させ、各ノードが独立して動作するというものです。このアーキテクチャは、CAP定理に従い、一貫性を犠牲にして可用性と分断耐性を重視しています。,データレイク,データレイクの概念は、大量のデータの保存と分析において重要ですが、CAP定理の原則とは直接的には一致しません。CAP定理は、データストレージアーキテクチャよりも、分散システムにおけるトレードオフに重点を置いています。,予測分析,予測分析は、データと統計アルゴリズムを用いて将来の結果を予測するものであり、CAP定理やその分散システムへの影響とは直接関係がありません。システム設計におけるトレードオフよりも、データから洞察を導き出すことに重点を置いています。,サービスベースのアーキテクチャ,サービスベースアーキテクチャはCAP定理の応用であり、システムを相互に通信するより小規模で独立したサービスに分割することに重点を置いています。このアーキテクチャは、CAP定理の原則に沿って、一貫性よりも可用性と分断耐性を重視します。,運用システム,運用システムは、分散システムにおける一貫性、可用性、およびパーティション耐性のトレードオフよりも、日常のビジネス運用に重点を置いているため、CAP 定理の適用とは直接関係しない可能性があります。,4,6 Data Storage and Operations
