number,question,choice_1,explanation_1,choice_2,explanation_2,choice_3,explanation_3,choice_4,explanation_4,choice_5,explanation_5,correct,domain
11,The acronym ACID stands for,"Atomicity, Consistency, Isolation, Durability","The correct answer is Atomicity, Consistency, Isolation, Durability. These are the four properties that guarantee the reliability of database transactions. Atomicity ensures that all operations in a transaction are completed successfully or none at all. Consistency ensures that the database remains in a consistent state before and after the transaction. Isolation ensures that the transactions are isolated from each other. Durability ensures that once a transaction is committed, it will persist even in the event of a system failure.","Arity, Cardinality, Instance, Development","Arity, Cardinality, Instance, Development is not the correct answer. These terms are not related to the ACID properties in database transactions. The correct properties are Atomicity, Consistency, Isolation, and Durability.","Atomicity, Cardinality, Instance, Durability","Atomicity, Cardinality, Instance, Durability is not the correct answer. While Atomicity and Durability are part of the ACID properties, Cardinality and Instance are not. The correct properties are Atomicity, Consistency, Isolation, and Durability.","Additive, CAP, Independence, Database","Additive, CAP, Independence, Database is not the correct answer. Additive, CAP, and Independence are not part of the ACID properties in database transactions. The correct properties are Atomicity, Consistency, Isolation, and Durability.","Atomicity, Consistency, Independence, Dominance","Atomicity, Consistency, Independence, Dominance is not the correct answer. Independence and Dominance are not part of the ACID properties in database transactions. The correct properties are Atomicity, Consistency, Isolation, and Durability.",1,6 Data Storage and Operations
12,"Which ""V"" characteristic of big data describes how often the data changes and therefore how long it is useful?",Veracity,"Veracity pertains to the accuracy and trustworthiness of data. While important in data management, it does not specifically address how often data changes or how long it remains useful.",Variety,Variety refers to the different types and sources of data within big data sets. It does not directly relate to how often data changes or how long it remains useful.,Viscosity,Viscosity is not a characteristic of big data related to how often data changes or how long it remains useful. Viscosity is more commonly associated with the resistance of data to flow or change.,Volatility,Volatility refers to how often data changes and how long it remains useful. Understanding the volatility of data is crucial in determining its relevance and usability in various data management processes.,Volume,Volume refers to the sheer amount of data within a big data set. It does not specifically address the frequency of data changes or its usefulness over time.,4,14 Big Data and Data Science
13,Data Collection to produce results to reach a pre-defined conclusion is an example of:,Bias,"Bias refers to the systematic error introduced into sampling or testing processes that results in a deviation from the true value. In this context, the act of selectively collecting and analyzing data to support a pre-defined conclusion introduces bias into the process.",Synchronicity,"Synchronicity refers to the simultaneous occurrence of events that appear to be meaningfully related but are not causally connected. The act of collecting data to produce results for a pre-defined conclusion is a deliberate and purposeful process, rather than a random or coincidental occurrence like synchronicity.",Planning,"Planning involves the process of outlining the steps, resources, and timeline required to achieve a specific goal or objective. While planning is essential for any data management process, it is not directly related to the act of collecting data to produce results for a pre-defined conclusion.",Serendipity,"Serendipity refers to the occurrence of events by chance in a happy or beneficial way. The scenario described in the question involves a deliberate and biased approach to data collection, which is contrary to the concept of serendipity.",Data analysis,"Data analysis involves the examination, transformation, and interpretation of data to uncover insights, patterns, and trends. While data analysis is a crucial step in the data management process, the specific scenario described in the question pertains to the biased collection of data to reach a predetermined conclusion.",1,2 Data Handling Ethics
14,"The database environment which is a slimmer version of the live environment, used to create and test code and new patches before deployment.",Production,The Production environment is the live environment where the application or system is fully operational and accessible to end-users. It is not used for creating and testing code or new patches before deployment.,Sandbox,"The Sandbox environment is often used for testing changes, updates, or configurations without affecting the live production environment. It is not specifically designed for creating and testing code or new patches before deployment.",Test,The Test environment is typically used for testing the functionality and performance of the application or system before deployment to the production environment. It is not specifically designed for creating and testing code or new patches.,Development,"The Development environment is a slimmer version of the live environment where developers create and test code, as well as new patches, before deploying them to the production environment. It is specifically used for development and testing purposes.",Experimental,"The Experimental environment is typically used for conducting experiments or trying out new ideas, features, or technologies. It is not specifically designed for creating and testing code or new patches before deployment to the live environment.",4,6 Data Storage and Operations
15,A type of database processing dominant in transaction processing using SQL is,MPP-Shared Nothing,"MPP-Shared Nothing (Massively Parallel Processing - Shared Nothing) is a type of database architecture where each node or server in a cluster operates independently, with no shared memory or disk. While SQL can be used in MPP systems, it is not a specific type of database processing dominant in transaction processing using SQL.",Distributed,"Distributed database processing involves data stored across multiple locations or nodes, often to improve scalability and fault tolerance. While SQL can be used in distributed databases, it is not specifically dominant in transaction processing using SQL.",ACID,"ACID (Atomicity, Consistency, Isolation, Durability) is a type of database processing that is dominant in transaction processing using SQL. It ensures that database transactions are processed reliably and consistently, following all four properties to maintain data integrity.",BASE,"BASE (Basically Available, Soft state, Eventually consistent) is a different type of database processing that is more commonly used in NoSQL databases. It focuses on availability and partition tolerance over consistency, which is different from the ACID properties dominant in transaction processing using SQL.",Centralised,"Centralized database processing refers to a single location or server handling all database operations. While SQL can be used in centralized systems, it is not the dominant type of database processing in transaction processing using SQL, which typically involves distributed or ACID-compliant systems.",3,6 Data Storage and Operations
16,The common model used by an organisation to standardise the format in which data must be shared resides in the hub of a hub-and-spoke design.,Universal data model,The Universal data model does not accurately describe the model used by an organization to standardize data sharing format in the hub of a hub-and-spoke design. It is a more general term and does not specifically focus on the central hub concept.,Standard data model,"The Standard data model is a generic term that does not specifically highlight the central hub aspect of a hub-and-spoke design. It may refer to a standardized format for data, but it does not emphasize the centralization and standardization aspects of a canonical data model.",Generic data model,The Generic data model is not the correct choice as it does not accurately describe the model used by an organization to standardize data sharing format in the hub of a hub-and-spoke design. It is a broad term that does not specifically address the central hub concept.,Common data model,"The Common data model is not the most appropriate choice in this context. While it may refer to a standard format for data sharing, it does not specifically emphasize the central hub aspect of a hub-and-spoke design.",Canonical data model,"The Canonical data model is the correct choice as it refers to a standardised format for representing data that is shared across multiple systems within an organization. It acts as a central hub in a hub-and-spoke design, ensuring consistency and interoperability among different systems.",5,8 Data Integration & Interoperability
17,"What is the process called which monitors a data set for inserts, updates and deletes, and then passes these deltas on to other data consumers?",Replication,"Replication involves copying and distributing data from one database to another, but it does not specifically monitor changes in a data set like CDC does. Replication focuses on duplicating data rather than capturing and passing on deltas.",ELT,"Extract, Load, Transform (ELT) is a data integration process where data is first extracted from the source, then loaded into the target system, and finally transformed. ELT does not specifically focus on monitoring data changes and passing on deltas like CDC.",CDC,"Change Data Capture (CDC) is the process of monitoring a data set for any changes such as inserts, updates, and deletes. It captures these changes and passes them on to other data consumers, enabling real-time data synchronization and replication.",Log shipping,"Log shipping is a method used to automatically send transaction log backups from one database to another, typically for disaster recovery purposes. It is not specifically designed to monitor changes in a data set and pass on deltas like CDC.",ETL,"Extract, Transform, Load (ETL) is a traditional data integration process where data is first extracted from the source, transformed according to business rules, and then loaded into the target system. ETL does not specifically monitor data changes and pass on deltas like CDC.",3,8 Data Integration & Interoperability
18,A naming structure containing a controlled vocabulary used for outlining topics and enabling navigation and source systems is called a,Micro-controlled vocabulary,"Micro-controlled vocabulary is not the correct choice as it does not specifically refer to a naming structure used for outlining topics and enabling navigation within source systems. It is more related to a smaller, more specific set of terms used within a particular domain.",Ontology,"Ontology is not the correct choice in this context. While it also deals with organizing information, it focuses more on the relationships between concepts and entities rather than just outlining topics and enabling navigation within source systems.",Glossary,"Glossary is not the correct choice for this question. A glossary typically contains definitions of terms used within a specific context or domain, but it does not necessarily provide a structured naming system for outlining topics and enabling navigation within source systems.",Taxonomy,Taxonomy is the correct choice because it refers to a naming structure that organizes topics and enables navigation within source systems by using a controlled vocabulary. It helps in categorizing and classifying information for easier retrieval and understanding.,Thesaurus,"Thesaurus is not the correct choice in this context. While a thesaurus does provide synonyms and related terms for a given word, it does not specifically refer to a naming structure containing a controlled vocabulary used for outlining topics and enabling navigation within source systems.",4,9 Document & Content Management
19,Which of these are characteristics of an effective data security policy?,"The policies are specific, measurable, achievable, realistic, and technology-aligned","While having specific, measurable, achievable, realistic, and technology-aligned policies is important for effective implementation, these characteristics alone do not encompass all aspects of a comprehensive data security policy. The effectiveness of a data security policy also depends on factors such as user awareness, training, and continuous monitoring.","The defined procedures ensure that the right people can use and update data in the right way, and that all inappropriate access and update is restricted","This choice correctly identifies the key characteristics of an effective data security policy, which include ensuring that authorized individuals have access to data while restricting unauthorized access and updates. This helps maintain data integrity and confidentiality, which are essential for data security.","The procedures defined are benchmarked, supported by technology, framework-based, and peer-reviewed","While benchmarking, technology support, framework alignment, and peer review are important aspects of a robust data security policy, they are not the only characteristics that define its effectiveness. This choice does not fully capture the comprehensive nature of an effective data security policy.","The procedures are tightly defined, with rigid and effective enforcement sanctions, and alignment with technology capabilities","While having well-defined procedures, strict enforcement, and alignment with technology capabilities are important components of a data security policy, overly rigid enforcement sanctions may not always be practical or effective. Flexibility and adaptability are also crucial in addressing evolving security threats.",nan,nan,2,7 Data Security
20,Responsibility for managing data is shared. Who needs to collaborate to ensure high quality information is available?,Business and Vendors,"While collaboration between Business and Vendors can be beneficial in certain aspects of data management, the primary responsibility for ensuring high-quality information lies with the internal teams. Vendors may provide tools or services, but the core collaboration should be between the business and IT.",Everyone in the organisation,"While it is important for everyone in the organization to understand the importance of data quality, the primary collaboration for ensuring high-quality information lies between Business and Information Technology. These two groups have the specific expertise and roles to drive effective data management practices.",Business and Information Technology,"Collaboration between Business and Information Technology is essential for ensuring high-quality information is available. The business stakeholders understand the data requirements and context, while the IT professionals have the technical expertise to implement data management processes and systems effectively.",Data Quality Specialists and Database Administrators,"Collaboration between Data Quality Specialists and Database Administrators is important for implementing specific data quality processes and maintaining database integrity. However, the broader responsibility for ensuring high-quality information availability requires collaboration between Business and Information Technology.",Internal and External Auditors,"While Internal and External Auditors play a role in assessing data quality and compliance, the primary collaboration for ensuring high-quality information availability is between Business and Information Technology. These two groups are responsible for defining data requirements, implementing data management processes, and ensuring data integrity.",3,1 Data Management
21,Who is commonly known as the father of enterprise architecture?,Ralph Kimball,"Ralph Kimball is known for his contributions to data warehousing and dimensional modeling, not enterprise architecture. While his work has had a significant impact on the field of data warehousing, he is not considered the father of enterprise architecture.",Steve Hoberman,"Steve Hoberman is a well-known data modeling expert and author, but he is not commonly referred to as the father of enterprise architecture. His expertise lies more in the area of data modeling and database design.",Robert Abate,Robert Abate is not a prominent figure in the field of enterprise architecture. There is no widely recognized association between him and the development of enterprise architecture principles.,John Zachman,"John Zachman is commonly known as the father of enterprise architecture. He is the creator of the Zachman Framework, which is a widely used approach for organizing and managing enterprise architecture.",Bill Inmon,"Bill Inmon is known as the father of data warehousing, not enterprise architecture. While his contributions to data warehousing are significant, he is not associated with the development of enterprise architecture principles.",4,4 Data Architecture
22,"The CAP theorem states that the larger a distributed system is, the lower the compliance to ACID. An application of this theorem is",MPP Shared-Nothing Architecture,"MPP Shared-Nothing Architecture is another application of the CAP theorem as it involves distributing data across multiple nodes in a cluster, with each node operating independently. This architecture sacrifices consistency in favor of availability and partition tolerance, in line with the CAP theorem.",the data lake,"The data lake concept, while important for storing and analyzing large volumes of data, does not directly align with the principles of the CAP theorem. The CAP theorem is more concerned with the trade-offs in distributed systems rather than data storage architectures.",Predictive analytics,"Predictive analytics involves using data and statistical algorithms to forecast future outcomes, which is not directly related to the CAP theorem and its implications on distributed systems. It focuses more on deriving insights from data rather than the trade-offs in system design.",Services-based Architecture,"Services-based Architecture is an application of the CAP theorem as it focuses on breaking down a system into smaller, independent services that communicate with each other. This architecture prioritizes availability and partition tolerance over consistency, aligning with the principles of the CAP theorem.",Operational systems,"Operational systems may not directly relate to the application of the CAP theorem, as they are more focused on day-to-day business operations rather than the trade-offs between consistency, availability, and partition tolerance in distributed systems.",4,6 Data Storage and Operations
23,The four activity categories in the context diagram are:,"Plan, Design & Enable, Create/Obtain, Store/Maintain, Use, Enhance, Dispose of","The activity categories in the context diagram are not Plan, Design & Enable, Create/Obtain, Store/Maintain, Use, Enhance, Dispose of. While these categories may cover various aspects of data management, they do not match the specific activity categories outlined in the context diagram.","Act, Plan, Monitor, Deploy","The activity categories in the context diagram are not Act, Plan, Monitor, Deploy. While these categories may be relevant in other contexts, they do not accurately represent the activity categories in the context diagram.","Plan, do, check, act","The activity categories in the context diagram are not Plan, do, check, act. These categories are more commonly associated with the Deming Cycle (PDCA) for continuous improvement and may not directly align with the specific activities in the context diagram.","Planning, Oversight, Design, Current","The activity categories in the context diagram are not Planning, Oversight, Design, and Current. While these categories may be relevant in other contexts, they do not accurately represent the activity categories in the context diagram.","Planning, Control, Development, Operations","The activity categories in the context diagram are Planning, Control, Development, and Operations. These categories represent different stages and aspects of data management processes within the context of the diagram.",5,1 Data Management
24,What type of architecture role describes the structure and functionality of applications in an enterprise?,Systems Architect,"A Systems Architect is responsible for designing and implementing the overall IT infrastructure and systems within an organization. While they may work closely with Applications Architects, their primary focus is on the broader system architecture rather than individual application design.",Technical Architect,"A Technical Architect is more focused on the technical aspects of the architecture, such as infrastructure, networks, and technology stack. While they may work closely with Applications Architects, their primary role is not specifically focused on defining the structure and functionality of applications.",Data Architect,"A Data Architect is responsible for designing and managing the organization's data assets and data architecture. While they play a crucial role in defining how data is stored, accessed, and used within applications, their primary focus is on data rather than application structure and functionality.",Applications Architect,An Applications Architect is responsible for defining the structure and behavior of applications within an enterprise. They focus on the design and functionality of individual applications to ensure they meet business requirements and align with overall enterprise architecture.,Solutions Architect,"A Solutions Architect is responsible for designing comprehensive solutions that address specific business problems or opportunities. While they may work with Applications Architects to ensure applications align with the overall solution, their role is broader and includes considering various technologies and components beyond just applications.",4,4 Data Architecture
25,Data scientists spend a large amount of time wrangling (formatting) and munging (cleaning) data before it is ready to explore using their models. Which step in the on the data science process describes these activities?,Explore using models,"The step ""Explore using models"" refers to the phase where data scientists apply various models and algorithms to the prepared data to gain insights and make predictions. Data wrangling and munging activities occur before this step to ensure the data is ready for modeling.",Choose data sources,"The step ""Choose data sources"" involves selecting the appropriate data sources for analysis based on the project requirements. While selecting relevant data sources is crucial, data wrangling and munging activities are necessary steps that occur after the data sources have been chosen.",Integrate and align data for analysis,"The step ""Integrate and align data for analysis"" involves preparing the data for analysis by combining, cleaning, and formatting it. This step includes activities such as data wrangling and munging to ensure that the data is in a suitable format for exploration using models.",Acquire and ingest data sources,"The step ""Acquire and ingest data sources"" involves collecting and loading data from various sources into the data science environment. While this step is essential for obtaining the necessary data, data wrangling and munging activities occur after the data has been acquired.",Develop and monitor,"The step ""Develop and monitor"" focuses on building, testing, and refining models based on the data. Data wrangling and munging activities are typically completed before this step to ensure the data is clean and formatted correctly for model development.",3,14 Big Data and Data Science
26,What is the difference between a Data Security policy and an information technology security policy?,The Data Governance council should have no role in Data Security,"The Data Governance council plays a crucial role in Data Security by defining and enforcing policies related to data protection, access control, and privacy. Their involvement is essential in ensuring that data security measures align with the organization's overall data governance framework.",Data Security policies are more granular in nature and take a data-centric approach,"Data Security policies focus specifically on protecting data assets, ensuring data confidentiality, integrity, and availability. They are more detailed and specific in addressing data-related risks and controls, taking a data-centric approach to security.",Information technology security policies are defined by external standards,"Information technology security policies may be influenced by external standards and regulations, but this does not necessarily mean that they are defined solely by external standards. Data Security policies, on the other hand, are more focused on data protection and may also align with external standards and regulations.",There is no difference,"This choice is incorrect because there is a clear distinction between Data Security policies and information technology security policies. Data Security policies specifically address the protection of data assets, while IT security policies encompass a broader range of security measures related to technology infrastructure.",nan,nan,2,7 Data Security
27,Under which Enterprise Architecture Domain does Data Security Architecture fall?,Enterprise Solutions Architecture,"Enterprise Solutions Architecture focuses on designing and implementing integrated solutions to address specific business problems or needs. While data security may be a component of overall solutions architecture, Data Security Architecture specifically focuses on securing data assets within an organization and is more closely related to technology architecture.",Enterprise Business Architecture,"Enterprise Business Architecture primarily deals with defining the organization's business strategy, processes, and goals. While data security is crucial for business operations, it is not the main focus of this domain. Data Security Architecture is more aligned with the technical aspects of technology architecture.",Enterprise Data Architecture,"Enterprise Data Architecture focuses on managing and organizing data assets within an organization. While data security is an important aspect of data architecture, it specifically pertains to securing data rather than structuring or organizing it. Data Security Architecture is more closely related to technology architecture.",Enterprise Technology Architecture,"Data Security Architecture falls under the Enterprise Technology Architecture domain because it focuses on the technology aspects of securing data within an organization. This includes implementing security measures, protocols, and technologies to protect data from unauthorized access, breaches, and other security threats.",Enterprise Applications Architecture,"Enterprise Applications Architecture deals with designing and implementing software applications to support business operations. While data security is essential for applications that handle sensitive data, it is not the primary focus of this domain. Data Security Architecture is more aligned with technology architecture.",4,4 Data Architecture
28,"In ARMA's GARP, which principle states that the organisation shall assign a senior executive to appropriate individuals, adopt policies and processes to guide staff, and ensure program auditability?",Principle of Protection,"The Principle of Protection in ARMA's GARP focuses on safeguarding data from unauthorized access, disclosure, alteration, or destruction. While data protection is essential in data management, it does not directly relate to assigning a senior executive, establishing policies, or ensuring program auditability as described in the question.",Principle of Accountability,"The Principle of Accountability in ARMA's GARP emphasizes the importance of assigning a senior executive to oversee data management activities, establishing policies and processes to guide staff in their data management responsibilities, and ensuring that the data management program is auditable. This principle focuses on holding individuals and the organization accountable for their data management practices.",Principle of Transparency,"The Principle of Transparency in ARMA's GARP highlights the importance of being open, honest, and accountable in data management practices. While transparency is valuable in data management, it does not directly address the assignment of a senior executive, the establishment of policies, or program auditability as outlined in the question.",Principle of Integrity,"The Principle of Integrity in ARMA's GARP pertains to maintaining the accuracy, consistency, and reliability of data throughout its lifecycle. While integrity is crucial in data management, it does not specifically address the assignment of a senior executive, the adoption of policies, or program auditability as outlined in the question.",Principle of Compliance,"The Principle of Compliance in ARMA's GARP emphasizes adhering to relevant laws, regulations, and organizational policies related to data management. While compliance is crucial in data management, it does not specifically address the assignment of a senior executive, the adoption of policies, or program auditability as specified in the question.",2,9 Document & Content Management
